WDPAID;WDPA_PID;PA_DEF;NAME;ORIG_NAME;DESIG;DESIG_ENG;DESIG_TYPE;IUCN_CAT;INT_CRIT;MARINE;REP_M_AREA;GIS_M_AREA;REP_AREA;GIS_AREA;NO_TAKE;NO_TK_AREA;STATUS;STATUS_YR;GOV_TYPE;OWN_TYPE;MANG_AUTH;MANG_PLAN;VERIF;METADATAID;SUB_LOC;PARENT_ISO;ISO3;presntVG;ENS45;ENS85_1000;ENS85_420;pr45;pr85_420;pr85_1000;area_m;area_km;area_ha
555555848;555555848;1;Musichi;Musichi;Distritos Regionales De Manejo Integrado;Integrated Management Regional District;National;VI;Not Applicable;0;0;0;14,944;15,02592869;Not Applicable;0;Designated;2011;Sub-national ministry or agency;Not Reported;Corporación Autónoma Regional de la Guajira;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG;COL;COL;8;11;11;11;8_11;8_11;8_11;14933635,67;14,934;1493
309;309;1;Cerro Santa Ana;Cerro Santa Ana;Natural Monument;Natural Monument;National;III;Not Applicable;0;0;0;19;34,2152388;Not Applicable;0;Designated;1972;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;34005143,84;34,005;3401
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;505504759,9;505,505;50550
30673;30673;1;Laguna de Boca de Caño;Laguna de Boca de Caño;Wildlife Refuge;Wildlife Refuge;National;IV;Not Applicable;0;0;0;4,53;90,78668338;Not Applicable;0;Designated;1989;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;90231057,54;90,231;9023
555592746;555592746;1;Bahia Portete Kaurrele;Bahia Portete Kaurrele;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;1;0;141,6349833;140,8;141,6349831;Not Reported;0;Designated;2014;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG Not Reported;COL;COL;8;13;6;6;8_13;8_6;8_6;99284651,8;99,285;9928
149;149;1;Macuira;Macuira;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;250;268,8133259;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG;COL;COL;8;13;6;6;8_13;8_6;8_6;14051346,64;14,051;1405
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;6;6;6;8_6;8_6;8_6;80528801,78;80,529;8053
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;321908678,2;321,909;32191
555592746;555592746;1;Bahia Portete Kaurrele;Bahia Portete Kaurrele;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;1;0;141,6349833;140,8;141,6349831;Not Reported;0;Designated;2014;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG Not Reported;COL;COL;8;6;6;8;8_6;8_8;8_6;41487544,49;41,488;4149
149;149;1;Macuira;Macuira;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;250;268,8133259;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG;COL;COL;9;6;6;8;9_6;9_8;9_6;162780110,2;162,78;16278
145556;145556;1;Ciénaga de Los Olivitos;Ciénaga de Los Olivitos;Ramsar Site, Wetland of International Importance;Ramsar Site, Wetland of International Importance;International;Not Reported;(i) (ii) (iii) (iv) (vii) (viii);1;0;15,412329;260;300,4251785;Not Reported;0;Designated;1996;Not Reported;Not Reported;Not Reported;Management plan is implented and available;State Verified;1856;VE-V;VEN;VEN;8;6;6;8;8_6;8_8;8_6;4207596,305;4,208;421
31274;31274;1;Cienaga Los Olivitos;Ciénaga Los Olivitos;Wildlife Refuge;Wildlife Refuge;National;IV;Not Applicable;1;65;15,411048;222,04;300,4241633;Not Reported;0;Designated;1986;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;8;6;6;8;8_6;8_8;8_6;4207795,929;4,208;421
150;150;1;Isla De Salamanca;Isla De Salamanca;Via Parque;Park Way;National;III;Not Applicable;1;0;0;562;579,6404416;Not Reported;0;Designated;1985;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG,Not Reported;COL;COL;6;11;11;11;6_11;6_11;6_11;423857751,9;423,858;42386
555624217;555624217;1;Cienaga Grande De Santa Marta;Cienaga Grande De Santa Marta;Specially Protected Area (Cartagena Convention);Specially Protected Area (Cartagena Convention);Regional;IV;Not Applicable;1;0;0,901621686;268,1;278,1167369;Not Reported;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://www.spaw-palisting.org/area_public/show/id/29/template/C6;State Verified;1900;Marine;COL;COL;6;11;11;11;6_11;6_11;6_11;152664768,9;152,665;15266
125;125;1;Cienaga Grande De Santa Marta;Cienaga Grande De Santa Marta;Santuario de Fauna y Flora;Fauna and Flora Sanctuary;National;IV;Not Applicable;0;0;0;268,1;278,1167371;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG;COL;COL;6;11;11;11;6_11;6_11;6_11;152664768,9;152,665;15266
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;13;13;8_13;8_13;8_13;5350411,068;5,35;535
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;86260124,89;86,26;8626
19284;19284;1;Sierra de San Luis;Sierra de San Luis;National Park;National Park;National;II;Not Applicable;0;0;0;200;204,2559032;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;13;13;8_13;8_13;8_13;47504538,63;47,505;4750
19284;19284;1;Sierra de San Luis;Sierra de San Luis;National Park;National Park;National;II;Not Applicable;0;0;0;200;204,2559032;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;155486071,3;155,486;15549
30635;30635;1;Serranía de San Luis;Serranía de San Luis;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;860;866,8909122;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;13;13;8_13;8_13;8_13;150693202,4;150,693;15069
30635;30635;1;Serranía de San Luis;Serranía de San Luis;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;860;866,8909122;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;1;13;8_13;8_13;8_1;140401,252;0,14;14
30635;30635;1;Serranía de San Luis;Serranía de San Luis;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;860;866,8909122;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;227670166,7;227,67;22767
337;337;1;Cueva de la Quebrada del Toro;Cueva de la Quebrada del Toro;National Park;National Park;National;II;Not Applicable;0;0;0;85;72,09948437;Not Applicable;0;Designated;1969;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;71650429,92;71,65;7165
10788;10788;1;Río Tocuyo;Río Tocuyo;Forest Reserve;Forest Reserve;National;VI;Not Applicable;0;0;0;476,4;438,2963774;Not Applicable;0;Designated;1969;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;13;13;13;8_13;8_13;8_13;102506461,2;102,506;10251
20074;20074;1;Sierra de Bobare;Sierra de Bobare;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;1400;1124,2647;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;13;13;13;8_13;8_13;8_13;32851820,76;32,852;3285
340;340;1;Cuare;Cuare;Wildlife Refuge;Wildlife Refuge;National;IV;Not Applicable;1;18,92;19,434007;118,53;97,34589455;Not Reported;0;Designated;1972;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;60524503,79;60,525;6052
68319;68319;1;Cuare;Cuare;Ramsar Site, Wetland of International Importance;Ramsar Site, Wetland of International Importance;International;Not Reported;(i) (ii) (iii) (iv) (v) (vi) (vii) (viii);1;0;19,424486;99,68;59,30783941;Not Reported;0;Designated;1988;Not Reported;Not Reported;Not Reported;Management plan is implented and available;State Verified;1856;Not Reported;VEN;VEN;8;11;11;11;8_11;8_11;8_11;50676891,25;50,677;5068
2247;2247;1;Morrocoy;Morrocoy;National Park;National Park;National;II;Not Applicable;1;192,54;231,570914;320,9;257,6776216;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;Not Reported;VEN;VEN;8;11;11;11;8_11;8_11;8_11;747426,639;0,747;75
10788;10788;1;Río Tocuyo;Río Tocuyo;Forest Reserve;Forest Reserve;National;VI;Not Applicable;0;0;0;476,4;438,2963774;Not Applicable;0;Designated;1969;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;11;11;11;8_11;8_11;8_11;181842535,1;181,843;18184
20074;20074;1;Sierra de Bobare;Sierra de Bobare;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;1400;1124,2647;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;11;11;11;8_11;8_11;8_11;146347308,9;146,347;14635
308;308;1;Laguna de las Marites;Laguna de las Marites;Natural Monument;Natural Monument;National;III;Not Applicable;1;18,37;17,84566;36,74;20,05521157;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;Not Reported;VEN;VEN;6;11;11;11;6_11;6_11;6_11;19930473,29;19,93;1993
311;311;1;Tetas de Maria Guevara;Tetas de María Guevara;Natural Monument;Natural Monument;National;III;Not Applicable;1;3,34;20,120321;180;27,77050479;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;Not Reported;VEN;VEN;6;11;11;11;6_11;6_11;6_11;27597865,77;27,598;2760
336;336;1;Laguna de la Restinga;Laguna de la Restinga;National Park;National Park;National;II;Not Applicable;1;63,64;7,741021;171,8;31,00549591;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-O;VEN;VEN;6;11;11;11;6_11;6_11;6_11;30812909,49;30,813;3081
338;338;1;Cerro El Copey;Cerro El Copey;National Park;National Park;National;II;Not Applicable;0;0;0;71,3;32,85210737;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-O;VEN;VEN;6;11;11;11;6_11;6_11;6_11;32648083,66;32,648;3265
310;310;1;Cerros Matasiete y Guayamurí;Cerros Matasiete y Guayamurí;Natural Monument;Natural Monument;National;Not Reported;Not Applicable;0;1,93;0,236093;16,72;12,82902286;Not Applicable;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-O;VEN;VEN;6;11;11;11;6_11;6_11;6_11;12749400,7;12,749;1275
30638;30638;1;Maracaibo;Maracaibo;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;5,164233;208;307,4921846;Not Applicable;0;Designated;1986;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;8;9;8;9;8_9;8_9;8_8;25997162,73;25,997;2600
30638;30638;1;Maracaibo;Maracaibo;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;5,164233;208;307,4921846;Not Applicable;0;Designated;1986;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;6;9;8;9;6_9;6_9;6_8;64207106,77;64,207;6421
30638;30638;1;Maracaibo;Maracaibo;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;5,164233;208;307,4921846;Not Applicable;0;Designated;1986;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;6;9;9;9;6_9;6_9;6_9;215368523,2;215,369;21537
555555766;555555766;1;Parque Natural Regional Los Rosales;Parque Natural Regional Los Rosales;Parque Natural Regional;Park Natural Regional;National;II;Not Applicable;0;0;0;13,045;14,09872216;Not Applicable;0;Designated;2011;Sub-national ministry or agency;Not Reported;Corporación Autónoma Regional del Atlántico;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-ATL;COL;COL;6;9;9;9;6_9;6_9;6_9;14010743,82;14,011;1401
20096;20096;1;Río Chuspita;Río Chuspita;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;56,42;92,25265295;Not Applicable;0;Designated;1976;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;13;13;6;6_13;6_6;6_13;8404495,06;8,404;840
20096;20096;1;Río Chuspita;Río Chuspita;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;56,42;92,25265295;Not Applicable;0;Designated;1976;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;13;13;13;6_13;6_13;6_13;83270675,7;83,271;8327
327;327;1;El Avila;El Avila;National Park;National Park;National;II;Not Applicable;0;0;0;851,92;706,8933439;Not Applicable;0;Designated;1958;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;13;6;6;6_13;6_6;6_6;229688104;229,688;22969
327;327;1;El Avila;El Avila;National Park;National Park;National;II;Not Applicable;0;0;0;851,92;706,8933439;Not Applicable;0;Designated;1958;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;13;13;6;6_13;6_6;6_13;155148072,5;155,148;15515
327;327;1;El Avila;El Avila;National Park;National Park;National;II;Not Applicable;0;0;0;851,92;706,8933439;Not Applicable;0;Designated;1958;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;13;13;13;6_13;6_13;6_13;25788617,76;25,789;2579
10778;10778;1;Litoral Central;Litoral Central;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;3,959145;397,23;373,5814309;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;13;13;6;6_13;6_6;6_13;70612144,82;70,612;7061
325;325;1;Guatopo;Guatopo;National Park;National Park;National;II;Not Applicable;0;0;0;1224,64;991,0824111;Not Applicable;0;Designated;1958;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;13;13;13;6_13;6_13;6_13;125674706,8;125,675;12567
30024;30024;1;Turuepano;Turuépano;National Park;National Park;National;II;Not Applicable;1;20,5;17,97536;700;678,6876441;Not Reported;0;Designated;1991;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-R;VEN;VEN;13;11;11;11;13_11;13_11;13_11;5880698,676;5,881;588
10786;10786;1;Guarapiche;Guarapiche;Forest Reserve;Forest Reserve;National;Not Reported;Not Applicable;0;6,67;23,912078;3700;3451,585122;Not Applicable;0;Designated;1963;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-N;VEN;VEN;13;11;11;11;13_11;13_11;13_11;1332791590;1332,792;133279
328;328;1;Península de Paria;Península de Paria;National Park;National Park;National;II;Not Applicable;1;8,59;13,616089;375;589,3574205;Not Reported;0;Designated;1978;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-R;VEN;VEN;13;11;11;11;13_11;13_11;13_11;408834985,6;408,835;40883
30023;30023;1;Ciénagas del Catatumbo;Ciénagas del Catatumbo;National Park;National Park;National;II;Not Applicable;1;0;126,812582;2694;1694,941221;Not Reported;0;Designated;1991;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;1;11;11;11;1_11;1_11;1_11;1137840995;1137,841;113784
20085;20085;1;Ciénagas de Juan Manuel, Aguas Blancas y Negras;Ciénagas de Juan Manuel, Aguas Blancas y Negras;Wildlife Reserve;Wildlife Reserve;National;IV;Not Applicable;1;0;38,104836;715;414,2985784;Not Reported;0;Designated;1975;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;1;11;11;11;1_11;1_11;1_11;320044211,6;320,044;32004
20068;20068;1;Región Lago de Maracaibo, Sierra de Perijá;Región Lago de Maracaibo, Sierra de Perijá;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;2441,25;2456,888696;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;1;11;11;11;1_11;1_11;1_11;20533,127;0,021;2
333;333;1;El Guácharo;El Guácharo;National Park;National Park;National;II;Not Applicable;0;0;0;627;536,5095634;Not Applicable;0;Designated;1975;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-N;VEN;VEN;13;6;6;6;13_6;13_6;13_6;39036271,24;39,036;3904
30024;30024;1;Turuepano;Turuépano;National Park;National Park;National;II;Not Applicable;1;20,5;17,97536;700;678,6876441;Not Reported;0;Designated;1991;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-R;VEN;VEN;13;6;6;6;13_6;13_6;13_6;25401739,95;25,402;2540
10786;10786;1;Guarapiche;Guarapiche;Forest Reserve;Forest Reserve;National;Not Reported;Not Applicable;0;6,67;23,912078;3700;3451,585122;Not Applicable;0;Designated;1963;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-N;VEN;VEN;13;6;6;6;13_6;13_6;13_6;1183213070;1183,213;118321
555555832;555555832;1;Complejo Cienagoso De Zarate Malibu Y Veladero;Complejo Cienagoso De Zarate Malibu Y Veladero;Distritos Regionales De Manejo Integrado;Integrated Management Regional District;National;VI;Not Applicable;0;0;0;639,92;643,9174096;Not Applicable;0;Designated;2011;Sub-national ministry or agency;Not Reported;Corporación Autónoma Regional del Magdalena;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-BOL;COL;COL;13;9;8;9;13_9;13_9;13_8;134249495;134,249;13425
146676;146676;1;Mariusa;Mariusa;National Park;National Park;National;II;Not Applicable;0;0;46,227327;2650;2985,37735;Not Applicable;0;Designated;1991;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-Y;VEN;VEN;1;11;11;11;1_11;1_11;1_11;195046794,7;195,047;19505
146676;146676;1;Mariusa;Mariusa;National Park;National Park;National;II;Not Applicable;0;0;46,227327;2650;2985,37735;Not Applicable;0;Designated;1991;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-Y;VEN;VEN;13;11;11;11;13_11;13_11;13_11;241870867;241,871;24187
30028;30028;1;Delta del Orinoco;Delta del Orinoco;Biosphere Reserve;Biosphere Reserve;National;Not Reported;Not Applicable;1;4733,03;4689,321585;8765;9921,851483;Not Reported;0;Designated;1991;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-Y;VEN;VEN;13;11;11;11;13_11;13_11;13_11;243776710,9;243,777;24378
30028;30028;1;Delta del Orinoco;Delta del Orinoco;Biosphere Reserve;Biosphere Reserve;National;Not Reported;Not Applicable;1;4733,03;4689,321585;8765;9921,851483;Not Reported;0;Designated;1991;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-Y;VEN;VEN;1;11;11;11;1_11;1_11;1_11;1842378479;1842,378;184238
315;315;1;Aguaro-Guariquito;Aguaro-Guariquito;National Park;National Park;National;II;Not Applicable;0;0;0;5857,5;5874,143728;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-J;VEN;VEN;6;8;6;8;6_8;6_8;6_6;2205226,582;2,205;221
315;315;1;Aguaro-Guariquito;Aguaro-Guariquito;National Park;National Park;National;II;Not Applicable;0;0;0;5857,5;5874,143728;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-J;VEN;VEN;6;8;8;8;6_8;6_8;6_8;5534795318;5534,795;553480
20069;20069;1;Cuencas Alta y Media del Río Pao;Cuencas Alta y Media del Río Pao;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;680;681,1246503;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-H;VEN;VEN;6;8;8;8;6_8;6_8;6_8;510784474,3;510,784;51078
20077;20077;1;Cuenca Alta del Río Cojedes;Cuenca Alta del Río Cojedes;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;2760;3444,315567;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;6;8;8;8;6_8;6_8;6_8;17874469,9;17,874;1787
61899;61899;1;Cuenca Alta y Media del Río Orituco;Cuenca Alta y Media del Río Orituco;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;430;285,8004108;Not Applicable;0;Designated;1991;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-J;VEN;VEN;6;8;8;8;6_8;6_8;6_8;48253504,95;48,254;4825
334;334;1;Macarao;Macarao;National Park;National Park;National;II;Not Applicable;0;0;0;150;179,4574303;Not Applicable;0;Designated;1973;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;8;8;8;6_8;6_8;6_8;6059675,836;6,06;606
10774;10774;1;Cuenca del Río Guárico;Cuenca del Río Guárico;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;402,07;430,1104638;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-D;VEN;VEN;6;8;8;8;6_8;6_8;6_8;427396904,7;427,397;42740
10776;10776;1;Area Metropolitana de Caracas;Area Metropolitana de Caracas;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;843;799,9861804;Not Applicable;0;Designated;1972;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;8;8;8;6_8;6_8;6_8;292932694,5;292,933;29293
325;325;1;Guatopo;Guatopo;National Park;National Park;National;II;Not Applicable;0;0;0;1224,64;991,0824111;Not Applicable;0;Designated;1958;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-M;VEN;VEN;6;8;8;8;6_8;6_8;6_8;81413373,69;81,413;8141
19287;19287;1;Cerro Platillón;Cerro Platillón;Natural Monument;Natural Monument;National;III;Not Applicable;0;0;0;80;65,01374862;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-G;VEN;VEN;6;8;8;8;6_8;6_8;6_8;64604306,04;64,604;6460
19290;19290;1;Morros de San Juan (Arístides Rojas);Morros de San Juan (Arístides Rojas);Natural Monument;Natural Monument;National;III;Not Applicable;0;0;0;27,55;35,34650882;Not Applicable;0;Designated;1949;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-J;VEN;VEN;6;8;8;8;6_8;6_8;6_8;35123834,29;35,124;3512
132;132;1;Sierra Nevada De Santa Marta;Sierra Nevada De Santa Marta;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;3830;4050,341465;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-CES,CO-LAG, CO-MAG;COL;COL;13;8;8;8;13_8;13_8;13_8;1054787181;1054,787;105479
132;132;1;Sierra Nevada De Santa Marta;Sierra Nevada De Santa Marta;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;3830;4050,341465;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-CES,CO-LAG, CO-MAG;COL;COL;6;8;8;8;6_8;6_8;6_8;25615670,4;25,616;2562
555592740;555592740;1;El Lucero;El Lucero;Reserva Natural de la Sociedad Civil;Reserve Natural Civil Society;National;VI;Not Applicable;0;0;0;55;1,14046588;Not Applicable;0;Designated;2005;Individual landowners;Not Reported;Individual landowners and the record is realized in Parques Nacionales Naturales;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-CES;COL;COL;13;8;8;8;13_8;13_8;13_8;1133303,969;1,133;113
152;152;1;Tayrona;Tayrona;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;150;193,118802;Not Applicable;0;Designated;1975;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG;COL;COL;6;8;8;8;6_8;6_8;6_8;40662747,23;40,663;4066
152;152;1;Tayrona;Tayrona;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;150;193,118802;Not Applicable;0;Designated;1975;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG;COL;COL;13;8;8;8;13_8;13_8;13_8;537255,656;0,537;54
555555932;555555932;1;Las Aves El Dorado;Las Aves El Dorado;Reserva Natural de la Sociedad Civil;Reserve Natural Civil Society;National;VI;Not Applicable;0;0;0;529,0017;5,862116667;Not Applicable;0;Designated;2010;Individual landowners;Not Reported;Individual landowners and the record is realized in Parques Nacionales Naturales;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG;COL;COL;6;8;8;8;6_8;6_8;6_8;5825770,41;5,826;583
555592805;555592805;1;Pachamama;Pachamama;Reserva Natural de la Sociedad Civil;Reserve Natural Civil Society;National;VI;Not Applicable;0;0;0;3,052;0,030715191;Not Applicable;0;Designated;2014;Individual landowners;Not Reported;Individual landowners and the record is realized in Parques Nacionales Naturales;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG;COL;COL;6;8;8;8;6_8;6_8;6_8;30524,733;0,031;3
555555984;555555984;1;La Iguana Verde;La Iguana Verde;Reserva Natural de la Sociedad Civil;Reserve Natural Civil Society;National;VI;Not Applicable;0;0;0;19,325;0,593701353;Not Applicable;0;Designated;2007;Individual landowners;Not Reported;Individual landowners and the record is realized in Parques Nacionales Naturales;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG;COL;COL;6;8;8;8;6_8;6_8;6_8;590023,169;0,59;59
